,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,14.0,4.0,16319.0,1.0,1.5,5.477225575051661,0.16899999999999993,5.477225575051661,0.169,0.0,0.8310000000000001,5.892031661742654
0,15.0,4.0,20359.0,1.0,1.5,5.477225575051661,0.19399999999999973,5.477225575051661,0.194,0.0,0.8060000000000003,6.052817794623298
0,15.0,4.0,20717.0,1.0,1.5,5.477225575051661,0.19399999999999973,5.477225575051661,0.194,0.0,0.8060000000000003,6.052817794623298
0,15.0,4.0,16937.0,1.0,1.5,5.5677643628300215,0.19499999999999995,5.291502622129181,0.212,0.212,0.5930000000000001,5.911189685469249
0,15.0,4.0,31547.0,1.0,1.5,5.656854249492381,0.19299999999999995,5.656854249492381,0.193,0.0,0.807,6.115770928172399
0,15.0,4.0,19141.0,1.0,1.5,5.291502622129181,0.1519999999999998,5.291502622129181,0.152,0.0,0.8480000000000002,5.940684082661344
0,16.0,4.0,42013.0,1.0,1.5,5.830951894845301,0.33699999999999986,5.830951894845301,0.195,0.0,0.6630000000000001,6.374548900679871
0,16.0,4.0,44389.0,1.0,1.5,5.5677643628300215,0.18400000000000005,5.5677643628300215,0.184,0.0,0.816,6.3400525439756334
0,16.0,4.0,35923.0,1.0,1.5,5.385164807134504,0.723,5.385164807134504,0.723,0.0,0.277,5.732146081142618
0,16.0,4.0,45289.0,1.0,1.5,5.477225575051661,0.20499999999999985,5.477225575051661,0.205,0.0,0.7950000000000002,6.371641163236749
0,16.0,4.0,56963.0,1.0,1.5,5.385164807134504,0.2979999999999998,5.385164807134504,0.298,0.0,0.7020000000000002,6.472572872177483
0,17.0,4.0,86291.0,1.0,1.5,6.164414002968976,0.19199999999999995,6.082762530298219,0.227,0.227,0.5810000000000001,6.568732114935741
0,17.0,4.0,108947.0,1.0,1.5,5.744562646538029,0.31199999999999983,5.744562646538029,0.312,0.0,0.6880000000000002,6.5713800185761375
0,17.0,4.0,104003.0,1.0,1.5,6.082762530298219,0.21199999999999974,6.082762530298219,0.212,0.0,0.7880000000000003,6.638398520977754
0,17.0,4.0,99713.0,1.0,1.5,6.082762530298219,0.21599999999999986,6.082762530298219,0.216,0.0,0.7840000000000001,6.6343947058075585
0,17.0,4.0,84533.0,1.0,1.5,6.164414002968976,0.19199999999999995,6.082762530298219,0.227,0.227,0.5810000000000001,6.568732114935741
0,18.0,4.0,230221.0,1.0,1.5,6.4031242374328485,0.71,6.4031242374328485,0.547,0.0,0.29000000000000004,6.667498239619795
0,18.0,4.0,237929.0,1.0,1.5,6.48074069840786,0.17099999999999982,6.48074069840786,0.171,0.0,0.8290000000000002,7.067549777164444
0,18.0,4.0,182467.0,1.0,1.5,6.164414002968976,0.34099999999999986,6.164414002968976,0.341,0.0,0.6590000000000001,6.8236916986540255
0,18.0,4.0,169493.0,1.0,1.5,6.4031242374328485,0.20199999999999985,6.4031242374328485,0.202,0.0,0.7980000000000002,6.769021711493426
0,18.0,4.0,231367.0,1.0,1.5,6.48074069840786,0.17099999999999982,6.48074069840786,0.171,0.0,0.8290000000000002,7.067549777164444
0,19.0,4.0,501427.0,1.0,1.5,6.782329983125268,0.22799999999999987,6.782329983125268,0.228,0.0,0.7720000000000001,7.330563752744046
0,19.0,4.0,399499.0,1.0,1.5,6.4031242374328485,0.23999999999999988,6.4031242374328485,0.24,0.0,0.7600000000000001,7.216824892658807
