Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
182,24,24.14904516440616,3380387098456820845688649042497222662413884695073188499,1,3,10,37.282703764614496,0.013000000000056744,37.26929030716845,0.0089,0.0089,0.9780999999999432,39.503829989445634,21.50983007800005
182,24,24.19630360185514,4582599018960737737463651999859836722379753963401440937,1,3,10,37.389838191679836,0.03850000000005027,37.33630940518894,0.0141,0.0141,0.9473999999999497,39.74603658562602,21.673780082999656
182,24,24.22249479700783,5424611131170542271800671620942111868553282681080418239,1,3,10,37.53664875824692,0.00480000000006775,37.44329045369811,0.0038,0.021599999999999998,0.9735999999999323,39.806798669404394,23.531386163000207
182,24,24.175456824229578,4006948063748326410178358086619500576930850288834321351,1,3,10,37.429934544425805,0.00790000000006319,37.20215047547655,0.0107,0.0407,0.9513999999999369,39.638712296374756,24.424073692000093
182,24,24.23031237661787,5704757121972099903893303062750091526997372565850834439,1,3,10,37.603191353926334,0.005300000000058591,37.49666651850535,0.0039,0.0183,0.9763999999999414,39.46810312475955,21.58627791500021
182,24,24.2404256294786,6088767900742951944044947362747287652764267700569755997,1,3,10,37.603191353926334,0.0026000000000546697,37.44329045369811,0.0123,0.0183,0.9790999999999453,39.54726438046575,21.66719199599993
190,25,25.08017802845437,1384055554881490432581824650547317470228311758905115445753,1,3,10,39.16631205513228,0.01250000000006568,38.961519477556315,0.0057,0.028999999999999998,0.9584999999999343,41.30056269413592,46.240116151999246
190,25,24.993408719944913,788826397585792926425411078844468718061717119232953553999,1,3,10,38.98717737923585,0.004500000000061233,38.72983346207417,0.0038,0.041,0.9544999999999387,40.76833702067424,46.172244264000255
190,25,25.056633387698053,1188181969418572805041696650037407649898767016471931111151,1,3,10,39.0,0.00460000000006211,38.8329756778952,0.01,0.045500000000000006,0.9498999999999379,41.53816703321872,46.208183282999926
190,25,25.04655539725934,1113063889734642089825728823749839107516247711048451906273,1,3,10,39.01281840626232,0.012600000000064338,38.88444419044716,0.0164,0.0408,0.9465999999999357,42.36613790741841,46.14656839300005
190,25,25.012055929591227,890107623642591604000179171437505211001853996219710690189,1,3,10,38.84584919911006,0.01750000000005658,38.67815921162743,0.0278,0.0278,0.9546999999999434,40.96828487913219,47.16495421699983
190,25,25.022803665544842,954295422705391875465333454873220061295821951608868354991,1,3,10,39.293765408777,0.006800000000067419,38.79432948254165,0.0045,0.11570000000000003,0.8774999999999326,41.228134330784606,47.41127321000022
190,25,25.04735239321449,1118827246541106319299349713040544709869052869166013236923,1,3,10,38.98717737923585,0.011900000000071187,38.84584919911006,0.0071,0.0218,0.9662999999999288,41.10482500577788,46.77346149100049
190,25,25.022065307748118,949741222945758341166932701645556810069008829823868334273,1,3,10,39.11521443121589,0.006900000000064743,38.948684188300895,0.0076,0.04770000000000001,0.9453999999999353,41.33890410088908,46.34208082499936
190,25,25.057177783549676,1192381226742427202898098619517061886804337593117823047403,1,3,10,39.20459156782532,0.0023000000000742427,38.7556447501522,0.0142,0.06749999999999999,0.9301999999999258,41.15384059493568,46.14776041099958
198,26,25.941742638806737,374799234823979581044953198645196277859371470481272325578703,1,3,10,40.55859958134649,0.004200000000080362,40.422765862815474,0.0063,0.0112,0.9845999999999197,43.55993699779617,99.78210723100074
198,26,25.85131705757007,207869570346366822679191233917858618327548804467808174712709,1,3,10,40.64480286580315,0.005900000000070849,40.36087214122113,0.0077,0.08470000000000001,0.9093999999999292,43.07439154846564,99.71579922199999
198,26,25.892047495260066,271072105633025733856665606087653854590258243839067723173137,1,3,10,40.19950248448356,0.007900000000081064,40.19950248448356,0.0079,0,0.9920999999999189,42.97731783226429,99.55743428599999
198,26,25.948247882013753,391040854336010897285216835883721434933945083400109284531171,1,3,10,40.63249930782009,0.0037000000000779742,40.52159917870962,0.0026,0.013300000000000001,0.982999999999922,43.397409289229195,99.81056560199977
198,26,25.923986464895947,333822657242781798141827013754934386720423674277899270222383,1,3,10,40.422765862815474,0.0025000000000793277,40.32369030731191,0.0073,0.011300000000000001,0.9861999999999207,43.241758386478374,99.43684001200018
198,26,25.852622672515235,209645798380948095519788289583983723258938824172011822751063,1,3,10,40.26164427839479,0.01450000000007956,40.26164427839479,0.0057,0,0.9854999999999204,43.22727976351211,99.51796447600009
