,Bit-length,beta,gamma
0,9.0,0.44726436579295836,-0.003814672325228442
0,9.0,0.38537584046792095,-0.003570924097035134
0,10.0,0.4694903463840069,-0.002906701370221972
0,10.0,0.39138347588496575,-0.0045932895433960065
0,10.0,0.3916141995210881,-0.003523363661279309
0,10.0,0.4694903463840069,-0.002906701370221972
0,10.0,-0.3591547942984495,0.003890708395028449
0,10.0,-0.35193600663498925,0.00440866718132131
0,10.0,-0.4235878029678648,0.003467294144964363
0,10.0,0.4662469343456125,-0.0027310080932298466
0,10.0,0.29679500354044064,-0.004475722698330321
0,10.0,-0.46707648918560535,0.002853813755202199
0,11.0,-0.41824239055791246,0.0032022393195231596
0,11.0,0.3495426425271013,-0.005158361658698287
0,11.0,0.30630037991083503,-0.004452606053631986
0,11.0,-0.414740868492674,0.0038505077569322512
0,11.0,-0.26017287942937956,0.014741634053505542
0,11.0,-0.3586618544140712,0.004967290494560611
0,11.0,0.4084541605961693,-0.0039896522493074755
0,11.0,-0.2933041321191391,0.005892278403220364
0,11.0,0.41184095081588545,-0.0035105868189195893
0,11.0,-0.4007092337971234,0.003825302070413957
0,12.0,-0.3725012506770102,0.004385137888402426
0,12.0,-0.3498246441300411,0.004244679984645832
0,12.0,0.4654525234676369,-0.002937480727471783
0,12.0,0.4137194453836639,-0.0035980398954093976
0,12.0,0.39096454559236826,-0.003356288532589622
0,12.0,0.43883600586919047,-0.004291256544756339
0,12.0,0.3576898474589939,-0.0038450532327405085
0,12.0,0.4523135662556976,-0.002924098890069774
0,12.0,-0.4001610642150155,0.00422271186787073
0,12.0,-0.4618113024792849,0.0038478646135059733
0,13.0,-0.3853121211581366,0.0035128006550224395
0,13.0,-0.2618254291781994,0.006754107623903783
0,13.0,-0.31007450132691805,0.006081922360264794
0,13.0,0.4810785059847047,-0.007129769347548937
0,13.0,0.3889560337145055,-0.005179775570823466
0,13.0,0.4198574135079465,-0.002912695548545776
0,13.0,-0.3769003921920612,0.004721776631152753
0,13.0,-0.3770615034643837,0.004707864084467884
0,13.0,0.3968791728689739,-0.004607699974854088
0,13.0,0.3987814635652651,-0.007285567428795974
0,14.0,0.46526232308382576,-0.0069831779653693705
0,14.0,0.46697987111579853,-0.007534984418089773
0,14.0,0.30785118874282047,-0.009696282684883963
0,14.0,0.4287782796661297,-0.007937032648177226
0,14.0,0.37988365938224566,-0.010041875425063145
0,14.0,0.3792966303598583,-0.007620612863632764
0,14.0,0.3853662348765699,-0.008101195334359683
0,14.0,0.35333195930174743,-0.009548538208724823
