,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,6.0,2.0,47.0,1.0,3.0,21.400934559032695,0.753,21.400934559032695,0.753,0.0,0.247,22.710608570798264
0,6.0,2.0,47.0,1.0,3.0,21.400934559032695,0.753,21.400934559032695,0.753,0.0,0.247,22.710608570798264
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,53.0,1.0,3.0,20.248456731316587,0.5920000000000001,20.248456731316587,0.592,0.0,0.408,20.944521732180277
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,53.0,1.0,3.0,20.248456731316587,0.5920000000000001,20.248456731316587,0.592,0.0,0.408,20.944521732180277
0,6.0,2.0,53.0,1.0,3.0,20.248456731316587,0.5920000000000001,20.248456731316587,0.592,0.0,0.408,20.944521732180277
0,6.0,2.0,53.0,1.0,3.0,20.248456731316587,0.5920000000000001,20.248456731316587,0.592,0.0,0.408,20.944521732180277
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,6.0,2.0,59.0,1.0,3.0,20.92844953645635,0.706,20.92844953645635,0.706,0.0,0.29400000000000004,21.829971825399724
0,6.0,2.0,47.0,1.0,3.0,21.400934559032695,0.753,21.400934559032695,0.753,0.0,0.247,22.710608570798264
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,6.0,2.0,37.0,1.0,3.0,22.825424421026653,0.857,22.825424421026653,0.857,0.0,0.14300000000000002,23.05205474591089
0,6.0,2.0,41.0,1.0,3.0,11.74734012447073,0.956,11.74734012447073,0.956,0.0,0.044,12.48231129602895
0,7.0,2.0,83.0,1.0,3.0,23.345235059857504,0.866,23.345235059857504,0.866,0.0,0.134,23.556236354729666
0,7.0,2.0,109.0,1.0,3.0,8.774964387392123,0.806,8.774964387392123,0.806,0.0,0.194,12.277770473781459
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,127.0,1.0,3.0,9.899494936611665,0.985,9.899494936611665,0.985,0.0,0.015,10.289995608220359
0,7.0,2.0,89.0,1.0,3.0,17.804493814764857,0.975,17.804493814764857,0.975,0.0,0.024999999999999998,18.037075653628055
0,7.0,2.0,79.0,1.0,3.0,21.470910553583888,0.241,21.470910553583888,0.241,0.0,0.759,27.00589402058078
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,71.0,1.0,3.0,14.45683229480096,0.85,14.45683229480096,0.85,0.0,0.15,16.27511101037986
0,7.0,2.0,107.0,1.0,3.0,10.63014581273465,0.835,10.63014581273465,0.835,0.0,0.16499999999999998,13.324892807643712
0,7.0,2.0,127.0,1.0,3.0,9.899494936611665,0.985,9.899494936611665,0.985,0.0,0.015,10.289995608220359
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,127.0,1.0,3.0,9.899494936611665,0.985,9.899494936611665,0.985,0.0,0.015,10.289995608220359
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,7.0,2.0,71.0,1.0,3.0,14.45683229480096,0.85,14.45683229480096,0.85,0.0,0.15,16.27511101037986
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,97.0,1.0,3.0,12.12435565298214,0.651,12.12435565298214,0.651,0.0,0.34900000000000003,15.54882075935279
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,107.0,1.0,3.0,10.63014581273465,0.835,10.63014581273465,0.835,0.0,0.16499999999999998,13.324892807643712
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,73.0,1.0,3.0,13.490737563232042,0.876,13.490737563232042,0.876,0.0,0.124,14.788918485252216
0,7.0,2.0,71.0,1.0,3.0,14.45683229480096,0.85,14.45683229480096,0.85,0.0,0.15,16.27511101037986
0,7.0,2.0,89.0,1.0,3.0,17.804493814764857,0.975,17.804493814764857,0.975,0.0,0.024999999999999998,18.037075653628055
0,7.0,2.0,73.0,1.0,3.0,13.490737563232042,0.876,13.490737563232042,0.876,0.0,0.124,14.788918485252216
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,7.0,2.0,71.0,1.0,3.0,14.45683229480096,0.85,14.45683229480096,0.85,0.0,0.15,16.27511101037986
0,7.0,2.0,89.0,1.0,3.0,17.804493814764857,0.975,17.804493814764857,0.975,0.0,0.024999999999999998,18.037075653628055
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,83.0,1.0,3.0,23.345235059857504,0.866,23.345235059857504,0.866,0.0,0.134,23.556236354729666
0,7.0,2.0,109.0,1.0,3.0,8.774964387392123,0.806,8.774964387392123,0.806,0.0,0.194,12.277770473781459
0,7.0,2.0,79.0,1.0,3.0,21.470910553583888,0.241,21.470910553583888,0.241,0.0,0.759,27.00589402058078
